 'tryton/binutils/2.34' load complete.
 'tryton/compiler/gcc/7.4' load complete.
 'tryton/python3/3.5.6' load complete.

Loading tryton/python3/3.5.6
  Loading requirement: tryton/binutils/2.34 tryton/compiler/gcc/7.4
iter.      J_T    ∫gₐ(t)dt          J       ΔJ_T         ΔJ  secs
224   1.00e+00    2.99e-10   1.00e+00  -5.99e-10  -3.00e-10    12
225   1.00e+00    3.03e-10   1.00e+00  -6.07e-10  -3.04e-10    13
226   1.00e+00    3.07e-10   1.00e+00  -6.15e-10  -3.08e-10    12
227   1.00e+00    3.11e-10   1.00e+00  -6.23e-10  -3.13e-10    13
228   1.00e+00    3.15e-10   1.00e+00  -6.32e-10  -3.17e-10    13
229   1.00e+00    3.19e-10   1.00e+00  -6.40e-10  -3.21e-10    13
230   1.00e+00    3.23e-10   1.00e+00  -6.48e-10  -3.25e-10    12
231   1.00e+00    3.28e-10   1.00e+00  -6.57e-10  -3.30e-10    13
232   1.00e+00    3.32e-10   1.00e+00  -6.66e-10  -3.34e-10    13
233   1.00e+00    3.36e-10   1.00e+00  -6.75e-10  -3.38e-10    13
234   1.00e+00    3.41e-10   1.00e+00  -6.84e-10  -3.43e-10    12
235   1.00e+00    3.45e-10   1.00e+00  -6.93e-10  -3.47e-10    13
236   1.00e+00    3.50e-10   1.00e+00  -7.02e-10  -3.52e-10    12
237   1.00e+00    3.55e-10   1.00e+00  -7.11e-10  -3.57e-10    13
238   1.00e+00    3.59e-10   1.00e+00  -7.21e-10  -3.62e-10    12
239   1.00e+00    3.64e-10   1.00e+00  -7.30e-10  -3.66e-10    13
240   1.00e+00    3.69e-10   1.00e+00  -7.40e-10  -3.71e-10    12
241   1.00e+00    3.74e-10   1.00e+00  -7.50e-10  -3.76e-10    13
242   1.00e+00    3.79e-10   1.00e+00  -7.60e-10  -3.81e-10    12
243   1.00e+00    3.84e-10   1.00e+00  -7.70e-10  -3.86e-10    13
244   1.00e+00    3.89e-10   1.00e+00  -7.80e-10  -3.91e-10    12
245   1.00e+00    3.94e-10   1.00e+00  -7.91e-10  -3.97e-10    13
246   1.00e+00    3.99e-10   1.00e+00  -8.01e-10  -4.02e-10    12
247   1.00e+00    4.05e-10   1.00e+00  -8.12e-10  -4.07e-10    13
248   1.00e+00    4.10e-10   1.00e+00  -8.23e-10  -4.13e-10    12
249   1.00e+00    4.16e-10   1.00e+00  -8.34e-10  -4.18e-10    13
250   1.00e+00    4.21e-10   1.00e+00  -8.45e-10  -4.24e-10    12
251   1.00e+00    4.27e-10   1.00e+00  -8.56e-10  -4.29e-10    13
252   1.00e+00    4.32e-10   1.00e+00  -8.68e-10  -4.35e-10    12
253   1.00e+00    4.38e-10   1.00e+00  -8.79e-10  -4.41e-10    13
254   1.00e+00    4.44e-10   1.00e+00  -8.91e-10  -4.47e-10    13
255   1.00e+00    4.50e-10   1.00e+00  -9.03e-10  -4.53e-10    13
256   1.00e+00    4.56e-10   1.00e+00  -9.15e-10  -4.59e-10    12
257   1.00e+00    4.62e-10   1.00e+00  -9.27e-10  -4.65e-10    13
258   1.00e+00    4.68e-10   1.00e+00  -9.39e-10  -4.71e-10    12
259   1.00e+00    4.74e-10   1.00e+00  -9.52e-10  -4.77e-10    13
260   1.00e+00    4.81e-10   1.00e+00  -9.64e-10  -4.84e-10    12
261   1.00e+00    4.87e-10   1.00e+00  -9.77e-10  -4.90e-10    13
262   1.00e+00    4.94e-10   1.00e+00  -9.90e-10  -4.97e-10    12
263   1.00e+00    5.00e-10   1.00e+00  -1.00e-09  -5.03e-10    13
264   1.00e+00    5.07e-10   1.00e+00  -1.02e-09  -5.10e-10    12
265   1.00e+00    5.14e-10   1.00e+00  -1.03e-09  -5.17e-10    13
266   1.00e+00    5.20e-10   1.00e+00  -1.04e-09  -5.24e-10    12
267   1.00e+00    5.27e-10   1.00e+00  -1.06e-09  -5.31e-10    13
268   1.00e+00    5.34e-10   1.00e+00  -1.07e-09  -5.38e-10    13
269   1.00e+00    5.41e-10   1.00e+00  -1.09e-09  -5.45e-10    13
270   1.00e+00    5.49e-10   1.00e+00  -1.10e-09  -5.52e-10    12
271   1.00e+00    5.56e-10   1.00e+00  -1.12e-09  -5.59e-10    13
272   1.00e+00    5.63e-10   1.00e+00  -1.13e-09  -5.67e-10    12
273   1.00e+00    5.71e-10   1.00e+00  -1.15e-09  -5.74e-10    13
274   1.00e+00    5.78e-10   1.00e+00  -1.16e-09  -5.82e-10    12
275   1.00e+00    5.86e-10   1.00e+00  -1.18e-09  -5.90e-10    13
276   1.00e+00    5.94e-10   1.00e+00  -1.19e-09  -5.98e-10    12
277   1.00e+00    6.02e-10   1.00e+00  -1.21e-09  -6.06e-10    13
278   1.00e+00    6.10e-10   1.00e+00  -1.22e-09  -6.14e-10    13
279   1.00e+00    6.18e-10   1.00e+00  -1.24e-09  -6.22e-10    13
280   1.00e+00    6.26e-10   1.00e+00  -1.26e-09  -6.30e-10    12
281   1.00e+00    6.35e-10   1.00e+00  -1.27e-09  -6.38e-10    13
282   1.00e+00    6.43e-10   1.00e+00  -1.29e-09  -6.47e-10    12
283   1.00e+00    6.52e-10   1.00e+00  -1.31e-09  -6.55e-10    13
284   1.00e+00    6.60e-10   1.00e+00  -1.32e-09  -6.64e-10    13
285   1.00e+00    6.69e-10   1.00e+00  -1.34e-09  -6.73e-10    13
286   1.00e+00    6.78e-10   1.00e+00  -1.36e-09  -6.82e-10    12
287   1.00e+00    6.87e-10   1.00e+00  -1.38e-09  -6.91e-10    13
288   1.00e+00    6.96e-10   1.00e+00  -1.40e-09  -7.00e-10    12
289   1.00e+00    7.05e-10   1.00e+00  -1.41e-09  -7.10e-10    13
290   1.00e+00    7.15e-10   1.00e+00  -1.43e-09  -7.19e-10    12
291   1.00e+00    7.24e-10   1.00e+00  -1.45e-09  -7.29e-10    13
292   1.00e+00    7.34e-10   1.00e+00  -1.47e-09  -7.38e-10    12
293   1.00e+00    7.44e-10   1.00e+00  -1.49e-09  -7.48e-10    13
294   1.00e+00    7.53e-10   1.00e+00  -1.51e-09  -7.58e-10    12
295   1.00e+00    7.63e-10   1.00e+00  -1.53e-09  -7.68e-10    13
296   1.00e+00    7.74e-10   1.00e+00  -1.55e-09  -7.78e-10    13
297   1.00e+00    7.84e-10   1.00e+00  -1.57e-09  -7.89e-10    13
298   1.00e+00    7.94e-10   1.00e+00  -1.59e-09  -7.99e-10    12
299   1.00e+00    8.05e-10   1.00e+00  -1.61e-09  -8.10e-10    13
300   1.00e+00    8.16e-10   1.00e+00  -1.64e-09  -8.21e-10    13
301   1.00e+00    8.26e-10   1.00e+00  -1.66e-09  -8.32e-10    13
302   1.00e+00    8.37e-10   1.00e+00  -1.68e-09  -8.43e-10    12
303   1.00e+00    8.49e-10   1.00e+00  -1.70e-09  -8.54e-10    13
304   1.00e+00    8.60e-10   1.00e+00  -1.73e-09  -8.65e-10    12
305   1.00e+00    8.71e-10   1.00e+00  -1.75e-09  -8.77e-10    13
306   1.00e+00    8.83e-10   1.00e+00  -1.77e-09  -8.88e-10    12
307   1.00e+00    8.95e-10   1.00e+00  -1.79e-09  -9.00e-10    13
308   1.00e+00    9.07e-10   1.00e+00  -1.82e-09  -9.12e-10    12
309   1.00e+00    9.19e-10   1.00e+00  -1.84e-09  -9.24e-10    13
